id,plant_id,file_name,is_primary,created_at,updated_at
54,46,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,1,2024-06-15,2024-06-15
62,55,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,1,2024-06-16,2024-06-16
67,59,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718514639/be-agriculture/enwpap7bfjcobyemhajr.jpg,1,2024-06-16,2024-06-16
68,59,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718514640/be-agriculture/qctxjb5e8jwiqxv8rd35.jpg,0,2024-06-16,2024-06-16
71,61,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718611204/be-agriculture/jnz4b19y50ij1branqto.jpg,1,2024-06-17,2024-06-17
72,61,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718611205/be-agriculture/jvvdxdvgu44vgrwt9uzu.jpg,0,2024-06-17,2024-06-17
