customize_watering_reminder_id,my_plant_id,time,recurring,type,created_at,updated_at,user_id,plant_id
14,-,14:00,1,daily,2024-06-19 14:47:04.577,2024-06-19 14:47:04.577,3,108
58,-,10:00,1,Week,2024-06-23 02:39:42.298,2024-06-23 02:39:42.298,3,77
59,-,06:00,0,daily,2024-06-23 06:57:49.279,2024-06-23 06:57:49.279,3,76
66,-,08:00,0,Day,2024-06-24 01:06:34.089,2024-06-24 01:06:34.089,41,75
71,-,17:00,1,Day,2024-06-28 12:32:46.392,2024-06-28 12:32:46.392,37,63
72,-,19:00,0,Day,2024-06-28 12:32:56.885,2024-06-28 12:32:56.885,37,63
